R,H_hsv,Contrast,Correlation,Energy,Class
186.17578125,19.1337890625,466.11391129032256,0.8139626048908075,0.0290245565501773,0
174.654296875,35.2421875,397.6491935483871,0.9193437670115192,0.027726355926361,0
170.8525390625,43.81640625,474.3074596774194,0.8950144066053726,0.0269551249135502,0
163.263671875,27.1669921875,792.0504032258063,0.8390256445121853,0.0254623607667642,0
177.95703125,29.333984375,478.5403225806451,0.8680832651537259,0.0292772897811645,0
145.5361328125,67.125,599.3729838709678,0.9060365934269284,0.0252419032773163,0
175.0380859375,26.3271484375,553.7278225806451,0.8547764661175503,0.0259172583310129,0
182.34375,16.7314453125,509.5614919354839,0.7882728730305475,0.0258387210039844,0
142.1376953125,43.78125,174.98991935483872,0.9000220603573991,0.0313311900562904,0
132.0625,45.6748046875,187.86794354838716,0.9001740310212756,0.0320526473701303,0
143.0634765625,42.1962890625,190.2016129032258,0.9050542272101536,0.0312093257669611,0
139.1787109375,45.8544921875,178.36290322580646,0.914081913015686,0.0305178941597189,0
134.8544921875,54.3095703125,139.66733870967744,0.929844433352898,0.0314687324169112,0
135.12890625,39.5693359375,181.30544354838716,0.8811891945818056,0.0308573142439797,0
141.6396484375,37.171875,230.4435483870968,0.8816053752522915,0.0310542778240914,0
131.9755859375,46.7470703125,193.7943548387097,0.9160981286011396,0.0299379887195917,0
132.302734375,43.6220703125,159.07963709677415,0.919868360795988,0.0302419354838709,0
140.4970703125,40.55078125,179.04637096774198,0.8991136124689381,0.0307996292690568,0
131.2666015625,40.97265625,218.87399193548384,0.9172041192009752,0.0380335674998255,0
147.05859375,28.4853515625,258.59375,0.8722944626941042,0.034436876718828,0
138.8994140625,32.716796875,230.05141129032256,0.8638472513364038,0.0367287030287029,0
145.861328125,33.220703125,247.10181451612905,0.9130342674943978,0.0333576453785772,0
151.638671875,37.662109375,316.7671370967741,0.8928128627135701,0.0333804852616904,0
133.3095703125,36.3779296875,257.33669354838713,0.9049210901269146,0.0302671266048436,0
123.8974609375,53.576171875,179.18548387096774,0.8373302415036801,0.0468993823163432,0
136.3291015625,34.6416015625,286.9858870967742,0.9040996190649324,0.0284231293949025,0
123.1025390625,51.783203125,223.29334677419357,0.880426180573602,0.0383064516129032,0
137.1337890625,62.2216796875,481.4274193548388,0.8903344320365618,0.0279726550917572,0
135.7685546875,34.9541015625,220.8548387096774,0.8818694410872264,0.0343334402538838,0
127.1025390625,54.5947265625,172.32157258064518,0.8776967108110875,0.0432528990986389,0
138.1787109375,25.587890625,203.5342741935484,0.8968218473752564,0.033660902937629,0
137.4638671875,27.3857421875,192.63407258064512,0.9031941005033304,0.0338415530878921,0
130.087890625,108.029296875,278.0655241935484,0.9175142776443796,0.0325325394417438,0
123.173828125,98.1298828125,293.1854838709677,0.914814653742694,0.0349494673858058,0
123.9990234375,85.4287109375,188.27318548387095,0.9423138047120436,0.0398344955816113,0
127.560546875,87.052734375,222.3417338709678,0.9306217402767826,0.0372779477562512,0
147.2470703125,21.400390625,302.0574596774194,0.8770184342805464,0.0324700068717871,0
147.7724609375,18.623046875,287.758064516129,0.8669283745606126,0.0338265357571824,0
138.87109375,52.458984375,474.9697580645161,0.8099345223455487,0.0252519658263615,0
111.689453125,122.0654296875,382.4788306451613,0.8904045527333829,0.0341107345074367,0
115.9130859375,80.9365234375,184.89616935483863,0.9038154053950036,0.0392951254910443,0
119.392578125,120.595703125,312.10584677419354,0.8906335396247771,0.0353182420188605,0
129.70703125,76.1943359375,383.9072580645162,0.843307152950703,0.0264124445697054,0
108.5966796875,99.728515625,147.53125,0.894648881053244,0.032966946422919,0
76.9130859375,147.21484375,93.4304435483871,0.7209638845665207,0.0390486773150132,0
128.5029296875,83.619140625,380.31149193548384,0.8376567359472499,0.0270492094052393,0
85.86328125,148.8193359375,158.8709677419355,0.7633725831622413,0.0322816823822699,0
137.3583984375,55.595703125,352.1542338709677,0.8291877204428587,0.027680504471262,0
142.2294921875,53.193359375,466.5997983870967,0.862220003263214,0.0251713528007737,0
94.66015625,154.2431640625,108.88911290322584,0.7788809582658491,0.0350728230990217,0
143.671875,54.8154296875,494.4082661290323,0.8614636606266048,0.024568664530149,0
108.736328125,120.279296875,263.15524193548384,0.8723047533126758,0.0325715613334748,0
99.3291015625,154.3193359375,122.20564516129036,0.777414619637664,0.0368323102952522,0
153.43359375,38.6689453125,451.3407258064516,0.8521952550174765,0.0254523813970818,0
104.88671875,108.576171875,173.80141129032256,0.857333111063943,0.0359809844709168,0
117.16796875,104.46875,293.0131048387097,0.8701128569112254,0.0307748740372454,0
118.9501953125,88.271484375,390.9778225806453,0.7948922115783302,0.0314768044274112,0
106.0498046875,118.443359375,104.66330645161293,0.849994830998407,0.0417951863742497,0
108.271484375,105.2890625,210.84879032258067,0.6711356320379301,0.0322265471031164,0
111.4892578125,102.3896484375,187.61592741935485,0.71305511152362,0.0339838867561241,0
101.8017578125,109.65625,272.90120967741933,0.8073713351892056,0.0283066957300382,0
97.6884765625,157.70703125,155.90625000000006,0.6085167779884676,0.0345987949631663,0
126.021484375,33.7744140625,272.2197580645161,0.6604198642710126,0.0335475026054309,0
97.40234375,155.5869140625,176.44052419354838,0.6226403319591549,0.0325481538124252,0
107.390625,129.75,255.92036290322585,0.7630593759169495,0.0293293075120487,0
94.96484375,152.7646484375,165.75201612903228,0.8015381959240911,0.0320605723665105,0
115.4482421875,66.6630859375,239.0161290322581,0.7748993880215765,0.0306673704539843,0
111.990234375,112.8671875,208.820564516129,0.7458150815157909,0.0302587318947653,0
104.9130859375,127.6728515625,111.72782258064515,0.9178871376708596,0.0494362896582226,0
104.2646484375,122.4609375,107.78125,0.8863373928790551,0.050362887083858,0
102.8671875,123.5166015625,129.92842741935482,0.8618453634213127,0.0507848456363306,0
106.3427734375,126.064453125,86.2147177419355,0.9389104091676648,0.0477848100584328,0
103.5283203125,126.2890625,131.8568548387097,0.8866193277511898,0.0501910858246153,0
107.6298828125,119.9951171875,76.9243951612903,0.9359772048841548,0.0452732088163016,0
109.822265625,116.755859375,89.62096774193549,0.9029005905889788,0.0451158145173392,0
112.6455078125,104.4599609375,168.0816532258065,0.9395420264063404,0.0332432105803249,0
124.5673828125,105.5986328125,338.8004032258064,0.8900645492390966,0.0280904733731709,0
103.423828125,123.98828125,121.89717741935485,0.8748832124922464,0.0491424989618391,0
125.5546875,107.6923828125,367.0806451612904,0.8853574982999305,0.027899904240117,0
110.9296875,128.1328125,86.73588709677419,0.9059364731226106,0.0456976893413029,0
106.4482421875,125.6650390625,91.2610887096774,0.94576756679148,0.0430999159807095,0
107.474609375,114.45703125,123.18346774193547,0.9403671204509892,0.0388072107962099,0
108.451171875,125.162109375,102.68447580645164,0.8846401337532949,0.0487896977432663,0
108.404296875,118.7802734375,94.7429435483871,0.9114044919166636,0.0453124719670515,0
123.3896484375,107.3974609375,281.27721774193554,0.908127185524361,0.0287077235199559,0
114.16015625,108.671875,170.98084677419354,0.9428908672559944,0.033660902937629,0
106.291015625,122.3349609375,90.78125,0.9158896612800002,0.0489716040382706,0
108.5595703125,116.685546875,124.22278225806453,0.865138871405071,0.0451383330186252,0
159.521484375,74.3193359375,466.5433467741937,0.9353728364519308,0.0268890698958652,0
128.8310546875,104.08984375,480.1431451612903,0.8777668305727199,0.0264316746010622,0
181.9111328125,47.44921875,427.5564516129032,0.924622394571994,0.0264604934443683,0
182.37890625,38.421875,351.89213709677426,0.9121272634195796,0.0269079593045143,0
170.2705078125,40.46875,173.9657258064516,0.9654933164033156,0.0282977194508431,0
183.9326171875,38.578125,364.95766129032256,0.9167210583984936,0.0265084552264207,0
176.6552734375,42.388671875,334.608870967742,0.9348453476259772,0.0259368555045738,0
145.9599609375,75.5703125,332.96572580645164,0.9211879607422646,0.0264892809344171,0
164.064453125,48.87109375,244.38608870967744,0.9267746827028808,0.0269927980624917,0
143.90234375,84.7255859375,456.0302419354838,0.8561270300094905,0.025759944232219,0
166.9794921875,45.50390625,246.79536290322585,0.9452635072200352,0.0280270943033424,0
161.66796875,50.021484375,198.9405241935484,0.9459732738414997,0.0278725737151179,0
119.8837890625,117.751953125,528.7741935483871,0.8718003190290642,0.0256512311491924,0
181.970703125,43.8984375,343.2066532258064,0.9275010832515164,0.0264412843721854,0
155.0126953125,57.1162109375,189.51512096774195,0.9624255273725064,0.0287607714066272,0
181.1298828125,44.6669921875,383.850806451613,0.9275937245453802,0.0269833847062987,0
146.998046875,71.3857421875,292.9072580645161,0.921629856865021,0.0269456983964186,0
141.1572265625,80.775390625,391.9596774193548,0.9052752266338516,0.0260053293135371,0
180.3984375,49.310546875,496.2620967741937,0.9191918947758336,0.0265371906876777,0
176.9208984375,45.2041015625,303.21572580645164,0.951112539555006,0.0265658950667428,0
125.1494140625,46.39453125,68.7711693548387,0.9585084079262568,0.0383991874087518,0
